# 1:t 2:x 3:y 4:z 5:P 6:Pmac 7:U 8:V 9:T
0 0.25 0.2 0 0 0 0 0 0
0.1 0.25 0.2 0 0 0 0 0 0
0.2 0.25 0.2 0 0.502038 0.743773 -0.00295665 -0.000453292 0
0.200824 0.25 0.2 0 65.0332 238.145 -0.00461875 0.000533038 0
0.201517 0.25 0.2 0 68.9703 176.375 0.00057995 -0.00101099 0
0.202132 0.25 0.2 0 35.3761 72.6583 0.00136844 -2.35962e-05 0
0.202972 0.25 0.2 0 7.92854 -6.96521 0.000732205 0.000519546 0
0.203891 0.25 0.2 0 -10.4642 -16.6472 0.000431733 0.000351663 0
0.204972 0.25 0.2 0 -10.9345 -19.4496 -3.04802e-05 5.06579e-05 0
0.206216 0.25 0.2 0 -10.0539 -16.8571 -1.2186e-05 1.10178e-05 0
0.207605 0.25 0.2 0 0.00185579 -10.8555 -2.69025e-05 -0.000391622 0
0.209083 0.25 0.2 0 0.811858 -5.74399 -3.2889e-05 -2.8327e-05 0
0.210518 0.25 0.2 0 1.56667 -3.5099 -2.68925e-05 -4.78258e-05 0
0.21198 0.25 0.2 0 2.15352 -0.0877597 -1.92172e-05 -3.10428e-06 0
0.213462 0.25 0.2 0 2.53769 1.10849 -9.272e-06 1.53577e-05 0
0.214963 0.25 0.2 0 2.70523 2.49157 1.03546e-06 -6.37254e-05 0
0.216484 0.25 0.2 0 2.66707 2.68053 1.1156e-05 2.47607e-05 0
0.218024 0.25 0.2 0 2.4495 2.48605 1.94448e-05 -9.79528e-06 0
0.21958 0.25 0.2 0 2.09326 1.57863 2.52552e-05 2.06891e-05 0
0.221156 0.25 0.2 0 1.65166 0.923058 2.88826e-05 4.40693e-06 0
0.222752 0.25 0.2 0 1.17757 0.181249 3.06752e-05 3.91393e-05 0
0.22437 0.25 0.2 0 0.72658 -0.527395 2.95326e-05 -1.0517e-05 0
0.226012 0.25 0.2 0 0.339189 -1.12532 2.3496e-05 5.18447e-05 0
0.227676 0.25 0.2 0 0.0479066 -1.54697 1.58174e-05 -4.49125e-05 0
0.229366 0.25 0.2 0 -0.127803 -1.96071 1.57523e-05 5.75402e-05 0
0.231076 0.25 0.2 0 -0.186262 -1.91953 1.11812e-05 -3.39079e-05 0
0.232805 0.25 0.2 0 -0.137194 -1.67745 9.43824e-06 -6.70704e-07 0
0.234551 0.25 0.2 0 0.00831726 -0.913176 5.38458e-06 1.79166e-05 0
0.236311 0.25 0.2 0 0.220306 -0.408159 3.92365e-06 1.57811e-05 0
0.238075 0.25 0.2 0 0.471474 0.166423 4.03546e-06 -6.96992e-07 0
0.239842 0.25 0.2 0 0.732167 0.746587 2.79908e-06 -8.06823e-05 0
0.241614 0.25 0.2 0 0.975077 1.28457 3.46548e-06 2.67825e-05 0
0.243384 0.25 0.2 0 1.1788 1.7418 4.32022e-06 -1.33631e-05 0
0.245149 0.25 0.2 0 1.32652 2.39714 5.76832e-06 -2.93399e-06 0
0.246912 0.25 0.2 0 1.4082 2.56041 6.95997e-06 -1.14983e-05 0
0.248672 0.25 0.2 0 1.42282 2.59212 8.32021e-06 -2.53736e-06 0
0.25043 0.25 0.2 0 1.37596 2.45741 9.55913e-06 -7.45572e-07 0
0.252188 0.25 0.2 0 1.27899 2.26122 1.07867e-05 -1.409e-05 0
0.253947 0.25 0.2 0 1.14517 1.99303 1.06935e-05 2.79892e-05 0
0.255707 0.25 0.2 0 0.994042 1.70267 1.10539e-05 -9.86019e-06 0
0.257472 0.25 0.2 0 0.841315 1.20912 8.77305e-06 1.00194e-05 0
0.259242 0.25 0.2 0 0.705243 0.955172 1.01913e-05 6.08213e-06 0
0.261017 0.25 0.2 0 0.594008 0.746894 8.65254e-06 -2.08819e-06 0
0.262798 0.25 0.2 0 0.518594 0.616215 7.61159e-06 7.65191e-06 0
0.264585 0.25 0.2 0 0.482912 0.566216 6.70548e-06 -1.16791e-05 0
0.266375 0.25 0.2 0 0.485349 0.593281 5.24613e-06 2.53732e-05 0
0.26817 0.25 0.2 0 0.52195 0.687536 4.70457e-06 -2.66915e-05 0
