# 1:t 2:x 3:y 4:z 5:P 6:Pmac 7:U 8:V 9:T
0 0.15 0.2 0 0 0 0 0 0
0.1 0.15 0.2 0 0 0 0 0 0
0.2 0.15 0.2 0 0.578411 0.893874 0.00113514 -0.000793345 0
0.200824 0.15 0.2 0 74.5245 260.992 0.00165553 5.25038e-05 0
0.201517 0.15 0.2 0 72.3106 183.146 0.000132642 -0.000489904 0
0.202132 0.15 0.2 0 36.6777 75.1009 -0.000425093 0.000234436 0
0.202972 0.15 0.2 0 8.31752 -7.05352 -0.000523232 4.09638e-05 0
0.203891 0.15 0.2 0 -10.569 -16.8643 -0.000424309 0.000245929 0
0.204972 0.15 0.2 0 -11.0783 -19.8583 -0.000223518 4.13698e-05 0
0.206216 0.15 0.2 0 -10.2164 -17.3056 -0.000147288 2.85254e-05 0
0.207605 0.15 0.2 0 0.121651 -11.152 -9.37656e-05 -0.000200617 0
0.209083 0.15 0.2 0 0.988086 -5.80555 -6.13695e-05 -0.000109305 0
0.210518 0.15 0.2 0 1.784 -3.47256 -3.4812e-05 -5.30807e-05 0
0.21198 0.15 0.2 0 2.38533 0.0716242 -2.04302e-05 -2.27292e-05 0
0.213462 0.15 0.2 0 2.77696 1.28855 -1.07979e-05 -3.03368e-05 0
0.214963 0.15 0.2 0 2.94294 2.71172 -4.65524e-06 -1.53538e-05 0
0.216484 0.15 0.2 0 2.90283 2.91692 -5.81369e-07 -5.60591e-06 0
0.218024 0.15 0.2 0 2.6754 2.71348 1.90425e-06 3.30764e-05 0
0.21958 0.15 0.2 0 2.30504 1.7677 4.0443e-06 -5.38668e-05 0
0.221156 0.15 0.2 0 1.84637 1.10136 4.50559e-06 2.99856e-05 0
0.222752 0.15 0.2 0 1.3524 0.330507 6.06271e-06 3.81456e-05 0
0.22437 0.15 0.2 0 0.886145 -0.400855 6.97862e-06 -1.21589e-05 0
0.226012 0.15 0.2 0 0.478898 -1.02666 8.15891e-06 4.30403e-05 0
0.227676 0.15 0.2 0 0.180964 -1.45857 9.15306e-06 -1.11104e-05 0
0.229366 0.15 0.2 0 -0.00678465 -1.89385 1.03109e-05 1.51537e-05 0
0.231076 0.15 0.2 0 -0.0679101 -1.8566 1.11946e-05 -1.34532e-06 0
0.232805 0.15 0.2 0 -0.0202999 -1.60754 1.22113e-05 2.22706e-05 0
0.234551 0.15 0.2 0 0.133397 -0.803441 1.28875e-05 -2.7497e-05 0
0.236311 0.15 0.2 0 0.353141 -0.292582 1.30657e-05 1.64247e-05 0
0.238075 0.15 0.2 0 0.60782 0.293295 1.32618e-05 -1.86201e-05 0
0.239842 0.15 0.2 0 0.879565 0.903501 1.36613e-05 -2.79908e-05 0
0.241614 0.15 0.2 0 1.1325 1.46532 1.23862e-05 1.24478e-05 0
0.243384 0.15 0.2 0 1.34319 1.93732 1.17822e-05 -4.64338e-05 0
0.245149 0.15 0.2 0 1.49557 2.61142 1.0866e-05 3.14677e-07 0
0.246912 0.15 0.2 0 1.58024 2.78702 9.98013e-06 -6.74333e-06 0
0.248672 0.15 0.2 0 1.59609 2.81968 9.02655e-06 -3.84948e-06 0
0.25043 0.15 0.2 0 1.54723 2.6707 8.08353e-06 -5.60856e-06 0
0.252188 0.15 0.2 0 1.44677 2.47999 7.25754e-06 -2.76214e-06 0
0.253947 0.15 0.2 0 1.3076 2.19899 6.6315e-06 2.57025e-05 0
0.255707 0.15 0.2 0 1.15138 1.89722 5.99423e-06 -2.2324e-05 0
0.257472 0.15 0.2 0 0.993999 1.37049 5.72773e-06 1.82691e-05 0
0.259242 0.15 0.2 0 0.850583 1.12625 5.40599e-06 -2.06758e-06 0
0.261017 0.15 0.2 0 0.735749 0.911872 5.32309e-06 2.43115e-06 0
0.262798 0.15 0.2 0 0.657673 0.774963 5.27024e-06 -5.98623e-07 0
0.264585 0.15 0.2 0 0.621668 0.721788 5.26332e-06 -1.16954e-06 0
0.266375 0.15 0.2 0 0.620711 0.742681 5.02879e-06 2.07498e-05 0
0.26817 0.15 0.2 0 0.660853 0.84592 5.36606e-06 -4.75637e-05 0
0.269968 0.15 0.2 0 0.726573 0.99659 5.24763e-06 2.69604e-05 0
0.271765 0.15 0.2 0 0.810173 1.18762 5.05185e-06 -8.24997e-06 0
0.273562 0.15 0.2 0 0.902133 1.5475 4.98861e-06 -5.38119e-06 0
0.275359 0.15 0.2 0 0.994041 1.71003 4.5868e-06 9.06017e-06 0
0.277153 0.15 0.2 0 1.07094 1.84782 4.11726e-06 -3.60836e-05 0
0.278942 0.15 0.2 0 1.13221 1.96465 3.72331e-06 6.51981e-06 0
0.28073 0.15 0.2 0 1.17123 2.11028 3.24169e-06 -4.153e-06 0
0.282514 0.15 0.2 0 1.18687 2.12415 2.70648e-06 -8.10047e-06 0
0.284296 0.15 0.2 0 1.17768 2.08858 2.3343e-06 1.13486e-05 0
0.286075 0.15 0.2 0 1.15204 2.03108 1.89752e-06 -1.82895e-05 0
0.287854 0.15 0.2 0 1.10876 1.88383 1.53111e-06 1.55475e-06 0
0.289629 0.15 0.2 0 1.05782 1.78196 1.16119e-06 -1.41683e-05 0
0.291405 0.15 0.2 0 1.00393 1.65953 9.62391e-07 3.83732e-05 0
0.293179 0.15 0.2 0 0.950252 1.54974 7.0951e-07 -2.57028e-05 0
0.294955 0.15 0.2 0 0.907291 1.46843 5.37457e-07 1.27218e-05 0
0.296732 0.15 0.2 0 0.875137 1.37214 4.65659e-07 -1.94595e-05 0
0.298508 0.15 0.2 0 0.855979 1.33805 3.25208e-07 1.02376e-05 0
0.300284 0.15 0.2 0 0.849878 1.32066 6.56493e-07 2.21576e-06 0
0.302061 0.15 0.2 0 0.855402 1.33939 7.30339e-08 3.29192e-05 0
0.303838 0.15 0.2 0 0.868638 1.38553 -2.35992e-08 -0.000136223 0
0.305605 0.15 0.2 0 0.903173 1.48204 1.40201e-07 0.000166553 0
0.307388 0.15 0.2 0 0.932792 1.6306 -1.15769e-07 -0.000134708 0
0.309156 0.15 0.2 0 0.965857 1.69235 -1.87895e-07 6.07979e-05 0
0.310926 0.15 0.2 0 0.994945 1.73557 -4.25424e-07 -1.89726e-05 0
0.31269 0.15 0.2 0 1.01878 1.77963 -6.14358e-07 -1.04164e-05 0
0.314454 0.15 0.2 0 1.03844 1.81751 -6.90385e-07 3.64926e-05 0
0.316214 0.15 0.2 0 1.0474 1.87359 -1.4427e-06 -6.2506e-05 0
0.317972 0.15 0.2 0 1.0496 1.87345 -1.42085e-06 6.8087e-06 0
0.319728 0.15 0.2 0 1.04339 1.84642 -1.43666e-06 4.06347e-05 0
0.321482 0.15 0.2 0 1.03311 1.82178 -1.69625e-06 -2.90777e-05 0
0.323233 0.15 0.2 0 1.01769 1.77333 -1.90746e-06 -1.20403e-05 0
0.324983 0.15 0.2 0 0.998407 1.73496 -2.00141e-06 2.64385e-05 0
0.32673 0.15 0.2 0 0.980584 1.68969 -2.15868e-06 -2.39612e-05 0
0.328477 0.15 0.2 0 0.963234 1.65769 -2.22327e-06 -2.09895e-05 0
0.330222 0.15 0.2 0 0.950094 1.62348 -2.35667e-06 2.77428e-05 0
0.331965 0.15 0.2 0 0.943573 1.60441 -2.41129e-06 2.71009e-05 0
0.333706 0.15 0.2 0 0.935097 1.58425 -2.47152e-06 -6.78732e-05 0
0.335445 0.15 0.2 0 0.937365 1.58424 -2.4772e-06 4.55005e-05 0
0.337183 0.15 0.2 0 0.940293 1.59663 -2.59609e-06 -2.30666e-05 0
0.338919 0.15 0.2 0 0.949177 1.64954 -2.6127e-06 3.24587e-08 0
0.340653 0.15 0.2 0 0.960372 1.66448 -2.73529e-06 -7.04057e-06 0
0.342385 0.15 0.2 0 0.969943 1.66968 -2.85991e-06 7.71902e-06 0
0.344114 0.15 0.2 0 0.980924 1.68723 -2.79615e-06 -9.37478e-06 0
0.345842 0.15 0.2 0 0.99112 1.71111 -2.95481e-06 -4.76392e-06 0
0.347567 0.15 0.2 0 0.999284 1.75898 -3.06956e-06 -1.79538e-06 0
0.34929 0.15 0.2 0 1.00481 1.76392 -3.17376e-06 -2.16574e-06 0
0.35101 0.15 0.2 0 1.00663 1.75369 -3.24265e-06 1.13918e-06 0
0.352728 0.15 0.2 0 1.00659 1.74828 -3.36051e-06 -9.38555e-06 0
0.354444 0.15 0.2 0 1.0038 1.74521 -3.45717e-06 -6.99154e-06 0
0.356157 0.15 0.2 0 0.998948 1.74304 -3.54327e-06 5.49377e-06 0
0.357869 0.15 0.2 0 0.994035 1.72611 -3.59965e-06 -5.37531e-06 0
0.359578 0.15 0.2 0 0.986947 1.69653 -3.67935e-06 -5.45369e-06 0
0.361285 0.15 0.2 0 0.981039 1.67906 -3.74082e-06 4.54485e-07 0
0.36299 0.15 0.2 0 0.975806 1.67058 -3.81258e-06 6.93872e-06 0
0.364693 0.15 0.2 0 0.971843 1.67153 -3.83788e-06 -1.97132e-05 0
0.366394 0.15 0.2 0 0.970505 1.66403 -3.84428e-06 1.87101e-05 0
0.368093 0.15 0.2 0 0.969138 1.64937 -3.9882e-06 -8.18233e-06 0
0.369789 0.15 0.2 0 0.969783 1.64841 -3.99745e-06 -1.92726e-05 0
0.371485 0.15 0.2 0 0.972236 1.65696 -4.03286e-06 7.36415e-06 0
0.373178 0.15 0.2 0 0.975931 1.6898 -4.04865e-06 -5.2924e-06 0
0.374868 0.15 0.2 0 0.980408 1.69199 -4.11308e-06 -2.79266e-06 0
0.376556 0.15 0.2 0 0.984589 1.68599 -4.17735e-06 -6.99223e-06 0
0.378242 0.15 0.2 0 0.988571 1.68733 -4.20341e-06 -4.33563e-06 0
0.379925 0.15 0.2 0 0.990467 1.69478 -4.26407e-06 4.72678e-06 0
0.381606 0.15 0.2 0 0.99426 1.72378 -4.3015e-06 2.99325e-06 0
0.383286 0.15 0.2 0 0.995302 1.72123 -4.34714e-06 -1.99647e-05 0
0.384963 0.15 0.2 0 0.99659 1.70952 -4.33315e-06 6.4953e-06 0
0.386638 0.15 0.2 0 0.996115 1.70349 -4.54034e-06 -1.58623e-05 0
0.388311 0.15 0.2 0 0.994637 1.70344 -4.53939e-06 1.15184e-05 0
0.389981 0.15 0.2 0 0.994848 1.71457 -4.5825e-06 -2.26594e-05 0
0.391649 0.15 0.2 0 0.991527 1.70451 -4.58348e-06 2.63447e-05 0
0.393315 0.15 0.2 0 0.989363 1.68539 -4.56988e-06 -2.64596e-05 0
0.394979 0.15 0.2 0 0.987516 1.67501 -4.6337e-06 7.81927e-06 0
0.396641 0.15 0.2 0 0.986183 1.67412 -4.67047e-06 -6.2942e-06 0
0.398301 0.15 0.2 0 0.986468 1.6737 -4.68573e-06 -1.6086e-05 0
0.39996 0.15 0.2 0 0.984839 1.66822 -4.71656e-06 1.85225e-05 0
0.401615 0.15 0.2 0 0.984711 1.68151 -4.75633e-06 -3.23406e-06 0
0.403269 0.15 0.2 0 0.987065 1.67977 -4.79002e-06 -5.50747e-06 0
0.404921 0.15 0.2 0 0.986415 1.66686 -4.81966e-06 -2.6306e-05 0
0.40657 0.15 0.2 0 0.988583 1.66952 -4.83299e-06 3.22243e-05 0
0.408218 0.15 0.2 0 0.990397 1.6766 -4.8756e-06 -2.80001e-05 0
0.409863 0.15 0.2 0 0.991857 1.70161 -4.87816e-06 1.3086e-05 0
0.411506 0.15 0.2 0 0.993571 1.69806 -4.87461e-06 -2.95201e-05 0
0.413148 0.15 0.2 0 0.99572 1.6866 -4.94982e-06 -6.16811e-06 0
0.414786 0.15 0.2 0 0.995455 1.67933 -4.9743e-06 2.45228e-05 0
0.41642 0.15 0.2 0 0.996017 1.68341 -5.03526e-06 -1.50456e-05 0
0.418051 0.15 0.2 0 0.997263 1.69204 -5.06112e-06 -2.28692e-06 0
0.419678 0.15 0.2 0 0.997592 1.71225 -5.09803e-06 -4.40891e-06 0
0.421301 0.15 0.2 0 0.997798 1.70308 -5.10069e-06 -5.2508e-07 0
0.42292 0.15 0.2 0 0.997538 1.68224 -5.123e-06 -1.39716e-05 0
